,0,1,2,3,4,5,6,7,8,9
0,5821.0,0.0,19.0,3.0,2.0,4.0,26.0,0.0,46.0,2.0
1,1.0,6682.0,15.0,10.0,7.0,1.0,5.0,8.0,11.0,2.0
2,5.0,2.0,5873.0,14.0,0.0,3.0,7.0,10.0,41.0,3.0
3,4.0,3.0,23.0,5996.0,0.0,14.0,8.0,16.0,47.0,20.0
4,3.0,7.0,10.0,5.0,5623.0,0.0,34.0,7.0,17.0,136.0
5,9.0,1.0,6.0,25.0,4.0,5293.0,48.0,4.0,17.0,14.0
6,5.0,4.0,3.0,0.0,3.0,4.0,5884.0,1.0,14.0,0.0
7,2.0,4.0,31.0,0.0,3.0,2.0,1.0,6188.0,6.0,28.0
8,10.0,10.0,9.0,3.0,0.0,7.0,22.0,1.0,5780.0,9.0
9,14.0,4.0,8.0,39.0,8.0,7.0,1.0,26.0,34.0,5808.0
